Date/Time,Active Energy (kcal),Source
2023-09-12 10:55:00,0.235,Lesley’s Apple Watch
2023-09-12 10:56:00,0.305,Lesley’s Apple Watch
2023-09-12 10:57:00,0.184,Lesley’s Apple Watch
2023-09-12 10:58:00,0.146,Lesley’s Apple Watch
2023-09-12 10:59:00,0.331,Lesley’s Apple Watch
2023-09-12 11:00:00,0.263,Lesley’s Apple Watch
2023-09-12 11:01:00,0.154,Lesley’s Apple Watch
2023-09-12 11:02:00,0.168,Lesley’s Apple Watch
2023-09-12 11:03:00,0.291,Lesley’s Apple Watch
2023-09-12 11:04:00,0.18,Lesley’s Apple Watch
2023-09-12 11:05:00,0.016,Lesley’s Apple Watch
2023-09-12 11:06:00,0.083,Lesley’s Apple Watch
2023-09-12 11:07:00,0.001,Lesley’s Apple Watch
2023-09-12 11:08:00,0.179,Lesley’s Apple Watch
2023-09-12 11:09:00,0.308,Lesley’s Apple Watch
2023-09-12 11:10:00,0.311,Lesley’s Apple Watch
2023-09-12 11:11:00,0.301,Lesley’s Apple Watch
2023-09-12 11:12:00,0.33,Lesley’s Apple Watch
2023-09-12 11:13:00,0.136,Lesley’s Apple Watch
2023-09-12 11:14:00,0.156,Lesley’s Apple Watch
2023-09-12 11:15:00,0.208,Lesley’s Apple Watch
2023-09-12 11:16:00,0.301,Lesley’s Apple Watch
2023-09-12 11:17:00,0.016,Lesley’s Apple Watch
2023-09-12 11:18:00,0.019,Lesley’s Apple Watch
2023-09-12 11:19:00,0.269,Lesley’s Apple Watch
2023-09-12 11:20:00,0.13,Lesley’s Apple Watch
2023-09-12 11:21:00,0.236,Lesley’s Apple Watch
2023-09-12 11:22:00,0.213,Lesley’s Apple Watch
2023-09-12 11:23:00,0.225,Lesley’s Apple Watch
2023-09-12 11:24:00,0.122,Lesley’s Apple Watch
2023-09-12 11:26:00,0.123,Lesley’s Apple Watch
2023-09-12 11:27:00,0.047,Lesley’s Apple Watch
2023-09-12 11:28:00,0.274,Lesley’s Apple Watch
2023-09-12 11:29:00,0.132,Lesley’s Apple Watch
2023-09-12 11:32:00,0.171,Lesley’s Apple Watch
2023-09-12 11:33:00,0.087,Lesley’s Apple Watch
2023-09-12 11:34:00,0.204,Lesley’s Apple Watch
2023-09-12 11:35:00,0.049,Lesley’s Apple Watch
2023-09-12 11:37:00,0.03,Lesley’s Apple Watch
2023-09-12 11:38:00,0.301,Lesley’s Apple Watch
2023-09-12 11:39:00,0.033,Lesley’s Apple Watch
2023-09-12 11:41:00,0.09,Lesley’s Apple Watch
2023-09-12 11:42:00,0.138,Lesley’s Apple Watch
2023-09-12 11:43:00,0.275,Lesley’s Apple Watch
2023-09-12 11:44:00,0.278,Lesley’s Apple Watch
2023-09-12 11:45:00,0.273,Lesley’s Apple Watch
2023-09-12 11:46:00,0.294,Lesley’s Apple Watch
2023-09-12 11:47:00,0.248,Lesley’s Apple Watch
2023-09-12 11:48:00,0.294,Lesley’s Apple Watch
2023-09-12 11:49:00,0.248,Lesley’s Apple Watch
2023-09-12 11:50:00,0.187,Lesley’s Apple Watch
2023-09-12 11:51:00,0.202,Lesley’s Apple Watch
2023-09-12 11:52:00,0.329,Lesley’s Apple Watch
2023-09-12 11:53:00,0.196,Lesley’s Apple Watch
2023-09-12 11:54:00,0.214,Lesley’s Apple Watch
2023-09-12 11:55:00,0.056,Lesley’s Apple Watch
2023-09-12 11:56:00,0.23,Lesley’s Apple Watch
2023-09-12 11:57:00,1.06,Lesley’s Apple Watch
2023-09-12 11:58:00,0.089,Lesley’s Apple Watch
2023-09-12 11:59:00,0.065,Lesley’s Apple Watch
2023-09-12 12:00:00,1.21,Lesley’s Apple Watch
2023-09-12 12:01:00,0.253,Lesley’s Apple Watch
2023-09-12 12:02:00,0.174,Lesley’s Apple Watch
2023-09-12 12:03:00,0.126,Lesley’s Apple Watch
2023-09-12 12:04:00,0.083,Lesley’s Apple Watch
2023-09-12 12:05:00,0.29,Lesley’s Apple Watch
2023-09-12 12:06:00,0.24,Lesley’s Apple Watch
2023-09-12 12:07:00,0.303,Lesley’s Apple Watch
2023-09-12 12:08:00,0.103,Lesley’s Apple Watch
2023-09-12 12:09:00,0.242,Lesley’s Apple Watch
2023-09-12 12:10:00,0.225,Lesley’s Apple Watch
2023-09-12 12:11:00,0.164,Lesley’s Apple Watch
2023-09-12 12:12:00,0.115,Lesley’s Apple Watch
2023-09-12 12:13:00,0.061,Lesley’s Apple Watch
2023-09-12 12:14:00,0.142,Lesley’s Apple Watch
2023-09-12 12:15:00,0.169,Lesley’s Apple Watch
2023-09-12 12:16:00,0.262,Lesley’s Apple Watch
2023-09-12 12:17:00,0.247,Lesley’s Apple Watch
2023-09-12 12:18:00,0.138,Lesley’s Apple Watch
2023-09-12 12:19:00,0.288,Lesley’s Apple Watch
2023-09-12 12:20:00,0.054,Lesley’s Apple Watch
2023-09-12 12:21:00,0.295,Lesley’s Apple Watch
2023-09-12 12:24:00,0.195,Lesley’s Apple Watch
2023-09-12 12:25:00,0.096,Lesley’s Apple Watch
2023-09-12 12:26:00,0.18,Lesley’s Apple Watch
2023-09-12 12:28:00,0.149,Lesley’s Apple Watch
2023-09-12 12:29:00,0.143,Lesley’s Apple Watch
2023-09-12 12:30:00,0.11,Lesley’s Apple Watch
2023-09-12 12:31:00,0.263,Lesley’s Apple Watch
2023-09-12 12:32:00,0.173,Lesley’s Apple Watch
